,product_url,product_name,price,rating,number_of_reviews,ASIN,product_description,manufacturer
226,https://www.amazon.in//Gear-Classic-Leather-Backpack-LBPCLSLTH0101/dp/B07G4D13LB/ref=sr_1_221?crid=2M096C61O4MLT&keywords=bags&qid=1675444888&sprefix=ba%2Caps%2C283&sr=8-221,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Black,₹999,"2,528","2,528",,,
227,https://www.amazon.in//Wooum-Business-Messenger-Shoulder-9x3-56inch/dp/B09KV1PFHV/ref=sr_1_222?crid=2M096C61O4MLT&keywords=bags&qid=1675444888&sprefix=ba%2Caps%2C283&sr=8-222,wooum Small Size Sling Cross Body Travel Office Business Messenger one Side Shoulder Pouch Bag Money Bag for Men and Women (9x3.56inch),₹328,"1,172","1,172",,,
228,https://www.amazon.in//Anti-Theft-Backpack-Business-Charging-Student/dp/B07RSJNNZS/ref=sr_1_223?crid=2M096C61O4MLT&keywords=bags&qid=1675444888&sprefix=ba%2Caps%2C283&sr=8-223,"Oscaurt Travel Laptop Backpack, Business High School College Bookbag,Slim Daypack for Women & Men Fit 15.6 Inches Laptop",₹949,883,883,,,
229,https://www.amazon.in//Van-Heusen-Woman-Spring-Summer-Burgundy/dp/B07MHFJ167/ref=sr_1_224?crid=2M096C61O4MLT&keywords=bags&qid=1675444888&sprefix=ba%2Caps%2C283&sr=8-224,Van Heusen womens Sling - textured single color belt,"₹1,362",209,209,,,
230,https://www.amazon.in//Gear-Alphamount-Trekking-Black-Yellow-RKSALPAMT0112/dp/B097KFYPCG/ref=sr_1_225?crid=2M096C61O4MLT&keywords=bags&qid=1675444889&sprefix=ba%2Caps%2C283&sr=8-225,"Gear Alphamount 45L Water Resistant Trekking Travel Rucksack for Men,Women - Black Yellow",₹849,319,319,,,
231,https://www.amazon.in//Square-Unicorn-Fluppy-CrossSide-multicolour/dp/B09PF194W3/ref=sr_1_226?crid=2M096C61O4MLT&keywords=bags&qid=1675444889&sprefix=ba%2Caps%2C283&sr=8-226,"Blue Square Unicorn Bag, Side and Sling bag for all Age Group, Soft Fur Bag, Soft Fluppy Fur Bag,CrossSide bag for girls (multicolour)",₹569,33,33,,,
232,https://www.amazon.in//Amazon-Brand-Solimo-Cricket-Black/dp/B08J8L13V5/ref=sr_1_227?crid=2M096C61O4MLT&keywords=bags&qid=1675444889&sprefix=ba%2Caps%2C283&sr=8-227,"Amazon Brand - Solimo Cricket Kit Bag, Black",₹899,38,38,,,
233,https://www.amazon.in//ASTRID-Blue-Textured-Cotton-Pouch/dp/B08W431L94/ref=sr_1_228?crid=2M096C61O4MLT&keywords=bags&qid=1675444889&sprefix=ba%2Caps%2C283&sr=8-228,ASTRID Blue Textured Cotton Tote Bag With Coin Pouch,₹749,220,220,,,
234,https://www.amazon.in//Backpack-Adventure-Camping-Trekking-Rucksack/dp/B091SNKKB4/ref=sr_1_229?crid=2M096C61O4MLT&keywords=bags&qid=1675444889&sprefix=ba%2Caps%2C283&sr=8-229,70L Travel Backpack Hiking Bag Adventure Camping Trekking Bag Rucksack -70L,₹949,"1,377","1,377",,,
235,https://www.amazon.in//GOCART-LOGO-Backpack-Briefcase-Convertible/dp/B0822H451W/ref=sr_1_230?crid=2M096C61O4MLT&keywords=bags&qid=1675444889&sprefix=ba%2Caps%2C283&sr=8-230,GOCART WITH G LOGO Laptop Backpack Casual Daypacks Briefcase Convertible Business Travel Rucksack with USB Charging Port Large College School Bookbag Computer Laptop Bag,"₹1,499","1,296","1,296",,,
